iter	Passed	Remaining
717	56010	21998
718	56077	21916
719	56145	21834
720	56212	21752
721	56281	21670
722	56353	21590
723	56420	21508
724	56491	21427
725	56560	21346
726	56629	21265
727	56697	21183
728	56767	21102
729	56833	21020
730	56899	20938
731	56967	20857
732	57035	20775
733	57102	20693
734	57171	20612
735	57250	20535
736	57323	20455
737	57401	20378
738	57481	20301
739	57553	20221
740	57636	20145
741	57723	20071
742	57809	19996
743	57886	19917
744	57959	19838
745	58042	19762
746	58112	19682
747	58194	19605
748	58284	19531
749	58354	19451
750	58438	19375
751	58509	19295
752	58576	19214
753	58643	19132
754	58711	19051
755	58781	18971
756	58850	18891
757	58919	18810
758	58990	18730
759	59058	18650
760	59128	18569
761	59201	18490
762	59274	18411
763	59348	18332
764	59418	18252
765	59490	18173
766	59556	18092
767	59629	18013
768	59704	17934
769	59774	17854
770	59845	17775
771	59918	17696
772	59990	17616
773	60075	17541
774	60148	17462
775	60221	17383
776	60301	17306
777	60374	17227
778	60446	17148
779	60536	17074
780	60618	16997
781	60692	16919
782	60761	16839
783	60829	16759
784	60903	16680
785	60977	16602
786	61050	16523
787	61120	16443
788	61193	16364
789	61262	16284
790	61330	16204
791	61398	16124
792	61469	16045
793	61539	15966
794	61607	15886
795	61677	15806
796	61748	15727
797	61817	15648
798	61886	15568
799	61957	15489
800	62026	15409
801	62094	15330
802	62163	15250
803	62237	15172
804	62309	15093
805	62386	15016
806	62475	14941
807	62562	14866
808	62655	14792
809	62739	14716
810	62812	14638
811	62888	14560
812	62966	14483
813	63038	14404
814	63120	14328
815	63204	14251
816	63282	14174
817	63360	14097
818	63428	14017
819	63500	13939
820	63570	13859
821	63641	13781
822	63711	13702
823	63779	13622
824	63847	13543
825	63914	13463
826	63984	13384
827	64054	13305
828	64122	13226
829	64190	13147
830	64260	13068
831	64327	12989
832	64398	12910
833	64468	12831
834	64535	12752
835	64609	12674
836	64680	12596
837	64748	12517
838	64824	12439
839	64900	12361
840	64975	12284
841	65049	12206
842	65119	12127
843	65189	12049
844	65261	11970
845	65333	11892
846	65402	11814
847	65471	11735
848	65546	11657
849	65615	11579
850	65684	11500
851	65753	11421
852	65818	11342
853	65887	11264
854	65956	11185
855	66022	11106
856	66094	11028
857	66163	10950
858	66231	10871
859	66299	10793
860	66369	10714
861	66438	10636
862	66508	10558
863	66579	10480
864	66648	10401
865	66716	10323
866	66787	10245
867	66862	10168
868	66941	10091
869	67024	10015
870	67100	9937
871	67171	9860
872	67246	9782
873	67316	9704
874	67399	9628
875	67488	9553
876	67567	9476
877	67650	9400
878	67748	9326
879	67852	9252
880	67940	9177
881	68014	9099
882	68090	9022
883	68162	8944
884	68237	8867
885	68318	8790
886	68403	8714
887	68475	8636
888	68556	8559
889	68623	8481
890	68691	8403
891	68760	8325
892	68828	8247
893	68896	8168
894	68964	8090
895	69031	8012
896	69098	7934
897	69166	7856
898	69237	7778
899	69305	7700
900	69371	7622
901	69442	7544
902	69511	7466
903	69582	7389
904	69655	7311
905	69722	7233
906	69790	7156
907	69862	7078
908	69932	7000
909	70004	6923
910	70074	6845
911	70146	6768
912	70218	6691
913	70294	6614
914	70368	6536
915	70437	6459
916	70509	6382
917	70577	6304
918	70645	6226
919	70714	6149
920	70782	6071
921	70847	5993
922	70914	5915
923	70983	5838
924	71049	5760
925	71115	5683
926	71182	5605
927	71255	5528
928	71324	5451
929	71394	5373
930	71462	5296
931	71531	5219
932	71599	5141
933	71667	5064
934	71735	4986
935	71803	4909
936	71870	4832
937	71939	4755
938	72010	4677
939	72080	4600
940	72148	4523
941	72221	4446
942	72288	4369
